,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo,ibmq_armonk
211,6807,6134,6444,7402,6452,6056
212,6777,6206,6437,7393,6440,6111
213,6865,6220,6405,7479,6402,6070
214,6811,6205,6442,7439,6418,6081
215,6826,6167,6422,7418,6475,6092
216,6848,6210,6472,7436,6481,6097
217,6796,6203,6493,7403,6467,6060
218,6824,6257,6404,7408,6395,6109
219,6829,6155,6472,7395,6393,6047
220,6795,6186,6499,7457,6416,6053
221,6819,6205,6428,7379,6374,6087
222,6773,6252,6468,7407,6485,6113
223,6791,6300,6442,7414,6346,6123
224,6811,6199,6492,7361,6393,6047
225,6594,6050,6102,7322,6250,6282
226,6597,6060,6043,7322,6161,6315
227,6570,6164,6074,7393,6276,6284
228,6603,6063,6066,7317,6166,6261
229,6531,6126,6104,7337,6283,6268
230,6580,6194,6090,7349,6175,6291
231,6564,6133,6112,7350,6241,6268
232,6576,6179,6112,7338,6198,6292
233,6612,6200,6126,7365,6227,6265
234,6585,6199,6165,7374,6244,6294
235,6591,6199,6162,7312,6204,6266
236,6545,6243,6137,7264,6195,6243
237,6502,6286,6206,7359,6201,6279
238,6559,6290,6143,7357,6219,6298
239,6572,6328,6174,7340,6240,6230
240,6520,6289,6164,7304,6263,6210
241,6583,6313,6255,7263,6286,6179
242,6603,6346,6188,7306,6303,6232
243,6545,6398,6187,7366,6186,6227
244,6587,6412,6215,7248,6204,6211
245,6607,6320,6160,7283,6196,6270
246,6522,6364,6227,7306,6254,6157
247,6627,6389,6266,7259,6162,6204
248,6478,6288,6195,7275,6227,6191
249,6529,6384,6237,7267,6241,6190
250,6485,6376,6282,7294,6246,6208
251,6528,6396,6313,7265,6225,6197
252,6542,6406,6282,7254,6243,6213
253,6532,6394,6297,7222,6233,6159
254,6514,6492,6260,7230,6235,6178
255,6409,6425,6317,7257,6303,6225
256,6498,6446,6346,7269,6275,6132
257,6585,6393,6322,7193,6247,6151
258,6522,6435,6303,7186,6276,6087
259,6538,6409,6347,7248,6245,6150
260,6474,6419,6331,7245,6263,6124
261,6503,6407,6305,7210,6249,6123
262,6537,6461,6349,7219,6333,6081
263,6440,6461,6260,7213,6340,6090
264,6479,6496,6421,7236,6339,6073
265,6432,6498,6327,7204,6281,6157
266,6509,6488,6293,7194,6266,6042
267,6485,6388,6325,7188,6279,6013
268,6554,6445,6336,7188,6338,6068
269,6464,6430,6394,7193,6331,6092
270,6491,6351,6303,7194,6245,5998
271,6447,6472,6354,7171,6368,6043
272,6502,6417,6297,7168,6322,6007
273,6478,6465,6381,7215,6318,6020
274,6468,6460,6315,7175,6402,5987
275,6466,6500,6334,7201,6357,5883
276,6473,6419,6351,7156,6320,5933
277,6408,6467,6319,7184,6386,5964
278,6412,6442,6284,7213,6369,6016
279,6444,6441,6390,7166,6394,6007
280,6444,6488,6272,7152,6374,5979
281,6450,6432,6335,7148,6364,5909
282,6387,6467,6314,7115,6303,5901
283,6381,6383,6375,7143,6347,5971
284,6457,6419,6353,7202,6334,5965
285,6412,6403,6323,7171,6473,5900
286,6404,6412,6372,7169,6483,5965
287,6379,6475,6312,7151,6431,5938
288,6368,6409,6308,7157,6447,5849
289,6470,6381,6369,7091,6390,5884
290,6428,6357,6272,7125,6422,5881
291,6457,6425,6305,7089,6390,5892
292,6485,6407,6288,7125,6418,5843
293,6434,6421,6351,7120,6466,5889
294,6409,6292,6313,7115,6457,5910
295,6416,6358,6320,7109,6463,5942
296,6374,6317,6271,7088,6425,5879
297,6434,6245,6295,7085,6509,5853
298,6333,6306,6269,7121,6448,5931
299,6416,6365,6296,7127,6459,5872
