,backend,prop_quality,prop_name,prop_value,prop_time
105,ibmqx2,best,id_error,0.0005973001522425463,2020-06-27 08:23:21+00:00
106,ibmqx2,worst,id_error,0.0014887438769525202,2020-06-27 08:27:32+00:00
107,ibmqx2,mean,id_error,0.000834183411267544,2020-06-27 08:23:21+00:00
108,ibmqx2,best,cx_error,0.012669576835642543,2020-06-27 08:32:59+00:00
109,ibmqx2,worst,cx_error,0.019936720076212305,2020-06-27 08:42:07+00:00
110,ibmqx2,mean,cx_error,0.01622660766401254,2020-06-27 08:32:59+00:00
111,ibmqx2,best,T1,50.902217091167785,2020-06-27 08:20:22+00:00
112,ibmqx2,worst,T1,67.2249001271891,2020-06-27 08:20:22+00:00
113,ibmqx2,mean,T1,59.14127389095887,2020-06-27 08:20:22+00:00
114,ibmqx2,best,T2,40.4292083439143,2020-06-25 08:25:02+00:00
115,ibmqx2,worst,T2,79.58587848469489,2020-06-27 08:21:06+00:00
116,ibmqx2,mean,T2,62.47010853297128,2020-06-27 08:21:06+00:00
117,ibmqx2,best,readout_error,0.011500000000000066,2020-06-27 08:20:07+00:00
118,ibmqx2,worst,readout_error,0.05049999999999999,2020-06-25 08:24:04+00:00
119,ibmqx2,mean,readout_error,0.026800000000000025,2020-06-27 08:20:07+00:00
120,ibmqx2,best,id_error,0.0005541628779604009,2020-06-26 08:31:17+00:00
121,ibmqx2,worst,id_error,0.0017950364601317119,2020-06-26 08:29:59+00:00
122,ibmqx2,mean,id_error,0.0009257209090458539,2020-06-26 08:26:05+00:00
123,ibmqx2,best,cx_error,0.01374229483422651,2020-06-26 08:56:38+00:00
124,ibmqx2,worst,cx_error,0.019030512993033377,2020-06-26 08:44:00+00:00
125,ibmqx2,mean,cx_error,0.016121561539931547,2020-06-26 08:35:12+00:00
126,ibmqx2,best,T1,64.72556260485754,2020-06-24 09:08:53+00:00
127,ibmqx2,worst,T1,71.78379088399396,2020-06-26 08:22:08+00:00
128,ibmqx2,mean,T1,67.42077533562276,2020-06-26 08:22:08+00:00
129,ibmqx2,best,T2,40.4292083439143,2020-06-25 08:25:02+00:00
130,ibmqx2,worst,T2,78.74490689224909,2020-06-26 08:23:06+00:00
131,ibmqx2,mean,T2,61.81639506452829,2020-06-26 08:23:06+00:00
132,ibmqx2,best,readout_error,0.014499999999999957,2020-06-26 08:21:53+00:00
133,ibmqx2,worst,readout_error,0.05049999999999999,2020-06-25 08:24:04+00:00
134,ibmqx2,mean,readout_error,0.027200000000000002,2020-06-26 08:21:53+00:00
135,ibmqx2,best,id_error,0.00047938666075061296,2020-06-25 08:33:25+00:00
136,ibmqx2,worst,id_error,0.0014014818158500108,2020-06-25 08:32:03+00:00
137,ibmqx2,mean,id_error,0.0008135265670399852,2020-06-25 08:28:06+00:00
138,ibmqx2,best,cx_error,0.01256338669908344,2020-06-25 09:01:28+00:00
139,ibmqx2,worst,cx_error,0.022341831029047382,2020-06-25 08:49:20+00:00
140,ibmqx2,mean,cx_error,0.017396261899619056,2020-06-25 08:37:25+00:00
141,ibmqx2,best,T1,55.336008419229316,2020-06-25 08:24:19+00:00
142,ibmqx2,worst,T1,68.33671200505869,2020-06-25 08:24:19+00:00
143,ibmqx2,mean,T1,62.44984284145247,2020-06-25 08:24:19+00:00
144,ibmqx2,best,T2,35.622633401833816,2020-06-25 08:26:56+00:00
145,ibmqx2,worst,T2,72.86895170012605,2020-06-25 08:25:02+00:00
146,ibmqx2,mean,T2,57.10002728937625,2020-06-25 08:25:02+00:00
147,ibmqx2,best,readout_error,0.011500000000000066,2020-06-25 08:24:04+00:00
148,ibmqx2,worst,readout_error,0.05049999999999999,2020-06-25 08:24:04+00:00
149,ibmqx2,mean,readout_error,0.025700000000000035,2020-06-25 08:24:04+00:00
150,ibmqx2,best,id_error,0.0005108449876632691,2020-06-24 09:24:02+00:00
151,ibmqx2,worst,id_error,0.0007876953848722151,2020-06-24 09:30:51+00:00
152,ibmqx2,mean,id_error,0.0006322911765589964,2020-06-24 09:20:41+00:00
153,ibmqx2,best,cx_error,0.012462354744119497,2020-06-24 10:21:04+00:00
154,ibmqx2,worst,cx_error,0.022310562048605292,2020-06-24 10:02:21+00:00
155,ibmqx2,mean,cx_error,0.016585616140636444,2020-06-24 09:45:24+00:00
156,ibmqx2,best,T1,48.523132878869454,2020-06-24 09:08:53+00:00
157,ibmqx2,worst,T1,67.37181732110918,2020-06-24 09:08:53+00:00
158,ibmqx2,mean,T1,61.00316240178913,2020-06-24 09:08:53+00:00
159,ibmqx2,best,T2,42.83664182820477,2020-06-24 09:14:52+00:00
160,ibmqx2,worst,T2,73.65758790163184,2020-06-24 09:14:52+00:00
161,ibmqx2,mean,T2,58.918176282208584,2020-06-24 09:12:05+00:00
162,ibmqx2,best,readout_error,0.010499999999999954,2020-06-24 09:06:25+00:00
163,ibmqx2,worst,readout_error,0.049000000000000044,2020-06-24 09:06:25+00:00
164,ibmqx2,mean,readout_error,0.02350000000000001,2020-06-24 09:06:25+00:00
165,ibmqx2,best,id_error,0.0004523454637279983,2020-06-23 08:30:35+00:00
166,ibmqx2,worst,id_error,0.0008947495796817406,2020-06-23 08:27:56+00:00
167,ibmqx2,mean,id_error,0.0007518491971513523,2020-06-23 08:24:52+00:00
168,ibmqx2,best,cx_error,0.012362825902740848,2020-06-23 08:52:54+00:00
169,ibmqx2,worst,cx_error,0.017566820087124013,2020-06-23 08:38:42+00:00
170,ibmqx2,mean,cx_error,0.014645985201371586,2020-06-23 08:34:05+00:00
171,ibmqx2,best,T1,49.47161733416697,2020-06-23 08:22:04+00:00
172,ibmqx2,worst,T1,71.5897880152217,2020-06-23 08:22:04+00:00
173,ibmqx2,mean,T1,60.179842476707016,2020-06-23 08:22:04+00:00
174,ibmqx2,best,T2,50.522438178793244,2020-06-23 08:22:36+00:00
175,ibmqx2,worst,T2,73.42823131254296,2020-06-23 08:24:22+00:00
176,ibmqx2,mean,T2,64.88544285988763,2020-06-23 08:22:36+00:00
177,ibmqx2,best,readout_error,0.017000000000000015,2020-06-23 08:21:39+00:00
178,ibmqx2,worst,readout_error,0.03700000000000003,2020-06-23 08:21:39+00:00
179,ibmqx2,mean,readout_error,0.02320000000000002,2020-06-23 08:21:39+00:00
180,ibmqx2,best,id_error,0.0005076241449372664,2020-06-22 08:30:23+00:00
181,ibmqx2,worst,id_error,0.0014332788951166612,2020-06-22 08:28:59+00:00
182,ibmqx2,mean,id_error,0.0008106792477024507,2020-06-22 08:24:49+00:00
183,ibmqx2,best,cx_error,0.012576276447942097,2020-06-22 08:34:19+00:00
184,ibmqx2,worst,cx_error,0.020217664041432104,2020-06-22 08:43:13+00:00
185,ibmqx2,mean,cx_error,0.016127624482858382,2020-06-22 08:34:19+00:00
186,ibmqx2,best,T1,55.70318038269818,2020-06-22 08:22:08+00:00
187,ibmqx2,worst,T1,65.73954270883014,2020-06-22 08:22:08+00:00
188,ibmqx2,mean,T1,60.66736475251291,2020-06-22 08:22:08+00:00
189,ibmqx2,best,T2,49.41169734941752,2020-06-22 08:22:40+00:00
190,ibmqx2,worst,T2,73.30115722889721,2020-06-22 08:22:40+00:00
191,ibmqx2,mean,T2,61.932493863814464,2020-06-22 08:22:40+00:00
192,ibmqx2,best,readout_error,0.013500000000000068,2020-06-22 08:21:50+00:00
193,ibmqx2,worst,readout_error,0.02950000000000008,2020-06-22 08:21:50+00:00
194,ibmqx2,mean,readout_error,0.021200000000000063,2020-06-22 08:21:50+00:00
195,ibmqx2,best,id_error,0.0004495843118594761,2020-06-21 08:32:57+00:00
196,ibmqx2,worst,id_error,0.0010177552298872951,2020-06-21 08:30:02+00:00
197,ibmqx2,mean,id_error,0.0006880877979637749,2020-06-21 08:27:18+00:00
198,ibmqx2,best,cx_error,0.010695508672074694,2020-06-21 08:57:07+00:00
199,ibmqx2,worst,cx_error,0.01989495925040141,2020-06-21 08:47:13+00:00
200,ibmqx2,mean,cx_error,0.01549029351927953,2020-06-21 08:37:02+00:00
201,ibmqx2,best,T1,55.771179603524956,2020-06-21 08:24:18+00:00
202,ibmqx2,worst,T1,66.31874259386824,2020-06-21 08:24:18+00:00
203,ibmqx2,mean,T1,62.49468828046345,2020-06-21 08:24:18+00:00
204,ibmqx2,best,T2,43.919430629261186,2020-06-21 08:24:43+00:00
205,ibmqx2,worst,T2,76.91587163116478,2020-06-21 08:24:43+00:00
206,ibmqx2,mean,T2,65.20657708513934,2020-06-21 08:24:43+00:00
207,ibmqx2,best,readout_error,0.007000000000000006,2020-06-21 08:24:00+00:00
208,ibmqx2,worst,readout_error,0.026499999999999968,2020-06-21 08:24:00+00:00
209,ibmqx2,mean,readout_error,0.019100000000000006,2020-06-21 08:24:00+00:00
210,ibmqx2,best,id_error,0.0005285406771985384,2020-06-20 08:33:50+00:00
211,ibmqx2,worst,id_error,0.0010111510265459523,2020-06-20 08:31:11+00:00
212,ibmqx2,mean,id_error,0.0007977409089514789,2020-06-20 08:28:07+00:00
213,ibmqx2,best,cx_error,0.009691762428505724,2020-06-20 08:56:28+00:00
214,ibmqx2,worst,cx_error,0.019805337436219567,2020-06-20 08:46:43+00:00
215,ibmqx2,mean,cx_error,0.016309786753078755,2020-06-20 08:37:54+00:00
216,ibmqx2,best,T1,57.81627057696792,2020-06-20 08:24:11+00:00
217,ibmqx2,worst,T1,74.2130353698392,2020-06-19 08:44:31+00:00
218,ibmqx2,mean,T1,65.37896193806907,2020-06-20 08:24:11+00:00
219,ibmqx2,best,T2,52.81016049075241,2020-06-20 08:25:16+00:00
220,ibmqx2,worst,T2,79.22596529050843,2020-06-20 08:26:28+00:00
221,ibmqx2,mean,T2,66.89231688578354,2020-06-20 08:25:16+00:00
222,ibmqx2,best,readout_error,0.010000000000000009,2020-06-20 08:23:45+00:00
223,ibmqx2,worst,readout_error,0.02950000000000008,2020-06-20 08:23:45+00:00
224,ibmqx2,mean,readout_error,0.01820000000000004,2020-06-20 08:23:45+00:00
225,ibmqx2,best,id_error,0.0005792804492082883,2020-06-19 08:58:54+00:00
226,ibmqx2,worst,id_error,0.0010835623919807612,2020-06-19 08:56:12+00:00
227,ibmqx2,mean,id_error,0.0007793962086947648,2020-06-19 08:50:33+00:00
228,ibmqx2,best,cx_error,0.014640617244361914,2020-06-19 09:06:52+00:00
229,ibmqx2,worst,cx_error,0.019192238433293624,2020-06-19 09:27:02+00:00
230,ibmqx2,mean,cx_error,0.017296727658684573,2020-06-19 09:06:52+00:00
231,ibmqx2,best,T1,49.538055461439974,2020-06-19 08:44:31+00:00
232,ibmqx2,worst,T1,74.2130353698392,2020-06-19 08:44:31+00:00
233,ibmqx2,mean,T1,64.67166275707278,2020-06-19 08:44:31+00:00
234,ibmqx2,best,T2,45.518199249636,2020-06-19 08:46:19+00:00
235,ibmqx2,worst,T2,83.04357534675786,2020-06-19 08:46:19+00:00
236,ibmqx2,mean,T2,70.14881107660787,2020-06-19 08:46:19+00:00
237,ibmqx2,best,readout_error,0.006000000000000005,2020-06-19 08:43:55+00:00
238,ibmqx2,worst,readout_error,0.03249999999999997,2020-06-19 08:43:55+00:00
239,ibmqx2,mean,readout_error,0.020100000000000028,2020-06-19 08:43:55+00:00
240,ibmqx2,best,id_error,0.00051879351932449,2020-06-18 08:29:49+00:00
241,ibmqx2,worst,id_error,0.0015077026383954499,2020-06-18 08:28:33+00:00
242,ibmqx2,mean,id_error,0.0008668010724223067,2020-06-18 08:24:20+00:00
243,ibmqx2,best,cx_error,0.01471614692212056,2020-06-18 08:33:39+00:00
244,ibmqx2,worst,cx_error,0.021399399145665354,2020-06-18 08:47:30+00:00
245,ibmqx2,mean,cx_error,0.01844218131629408,2020-06-18 08:33:39+00:00
246,ibmqx2,best,T1,59.70787607274807,2020-06-18 08:21:04+00:00
247,ibmqx2,worst,T1,73.03321367253834,2020-06-18 08:21:04+00:00
248,ibmqx2,mean,T1,64.65033268304471,2020-06-18 08:21:04+00:00
