backend,qubit,datetime,name,units,value,log_datetime
ibmq_16_melbourne,12,2020-06-18T06:37:34+00:00,T2,탎,59.34262966032796,2020-06-18T16:33:04.690429
ibmq_16_melbourne,12,2020-06-18T08:09:35+00:00,frequency,GHz,4.759997308595504,2020-06-18T16:33:04.690429
ibmq_16_melbourne,12,2020-06-18T06:33:09+00:00,readout_error,,0.04200000000000004,2020-06-18T16:33:04.690429
ibmq_16_melbourne,12,2020-06-18T06:33:09+00:00,prob_meas0_prep1,,0.064,2020-06-18T16:33:04.690429
ibmq_16_melbourne,12,2020-06-18T06:33:09+00:00,prob_meas1_prep0,,0.020000000000000018,2020-06-18T16:33:04.690429
ibmq_16_melbourne,12,2020-06-18T08:09:35+00:00,id_length,ns,53.33333333333333,2020-06-18T16:33:04.690429
ibmq_16_melbourne,13,2020-06-18T06:34:14+00:00,T1,탎,30.519136310035066,2020-06-18T16:33:04.690429
ibmq_16_melbourne,13,2020-06-18T06:36:06+00:00,T2,탎,55.37613092521754,2020-06-18T16:33:04.690429
ibmq_16_melbourne,13,2020-06-18T08:09:35+00:00,frequency,GHz,4.96832808941945,2020-06-18T16:33:04.690429
ibmq_16_melbourne,13,2020-06-18T06:33:09+00:00,readout_error,,0.10749999999999993,2020-06-18T16:33:04.690429
ibmq_16_melbourne,13,2020-06-18T06:33:09+00:00,prob_meas0_prep1,,0.15,2020-06-18T16:33:04.690429
ibmq_16_melbourne,13,2020-06-18T06:33:09+00:00,prob_meas1_prep0,,0.06499999999999995,2020-06-18T16:33:04.690429
ibmq_16_melbourne,13,2020-06-18T08:09:35+00:00,id_length,ns,142.22222222222223,2020-06-18T16:33:04.690429
ibmq_16_melbourne,14,2020-06-18T06:34:14+00:00,T1,탎,43.35552665255823,2020-06-18T16:33:04.690429
ibmq_16_melbourne,14,2020-06-18T06:37:34+00:00,T2,탎,51.54831264283422,2020-06-18T16:33:04.690429
ibmq_16_melbourne,14,2020-06-18T08:09:35+00:00,frequency,GHz,5.001483780742375,2020-06-18T16:33:04.690429
ibmq_16_melbourne,14,2020-06-18T06:33:09+00:00,readout_error,,0.055499999999999994,2020-06-18T16:33:04.690429
ibmq_16_melbourne,14,2020-06-18T06:33:09+00:00,prob_meas0_prep1,,0.08899999999999997,2020-06-18T16:33:04.690429
ibmq_16_melbourne,14,2020-06-18T06:33:09+00:00,prob_meas1_prep0,,0.022,2020-06-18T16:33:04.690429
ibmq_16_melbourne,14,2020-06-18T08:09:35+00:00,id_length,ns,53.33333333333333,2020-06-18T16:33:04.690429
ibmq_vigo,0,2020-06-18T06:09:40+00:00,T1,탎,123.90217955755003,2020-06-18T16:33:04.690429
ibmq_vigo,0,2020-05-15T06:15:24+00:00,T2,탎,17.14151362421807,2020-06-18T16:33:04.690429
ibmq_vigo,0,2020-06-18T06:47:47+00:00,frequency,GHz,4.796434593505058,2020-06-18T16:33:04.690429
ibmq_vigo,0,2020-06-18T06:09:21+00:00,readout_error,,0.015000000000000013,2020-06-18T16:33:04.690429
ibmq_vigo,0,2020-06-18T06:09:21+00:00,prob_meas0_prep1,,0.028000000000000025,2020-06-18T16:33:04.690429
ibmq_vigo,0,2020-06-18T06:09:21+00:00,prob_meas1_prep0,,0.002,2020-06-18T16:33:04.690429
ibmq_vigo,0,2020-06-18T06:47:47+00:00,id_length,ns,35.55555555555556,2020-06-18T16:33:04.690429
ibmq_vigo,1,2020-06-18T06:09:40+00:00,T1,탎,108.89732602070603,2020-06-18T16:33:04.690429
ibmq_vigo,1,2020-06-18T06:10:54+00:00,T2,탎,132.35110130384712,2020-06-18T16:33:04.690429
ibmq_vigo,1,2020-06-18T06:47:47+00:00,frequency,GHz,4.940152928914307,2020-06-18T16:33:04.690429
ibmq_vigo,1,2020-06-18T06:09:21+00:00,readout_error,,0.016000000000000014,2020-06-18T16:33:04.690429
ibmq_vigo,1,2020-06-18T06:09:21+00:00,prob_meas0_prep1,,0.026000000000000023,2020-06-18T16:33:04.690429
ibmq_vigo,1,2020-06-18T06:09:21+00:00,prob_meas1_prep0,,0.006,2020-06-18T16:33:04.690429
ibmq_vigo,1,2020-06-18T06:47:47+00:00,id_length,ns,35.55555555555556,2020-06-18T16:33:04.690429
ibmq_vigo,2,2020-06-18T06:09:40+00:00,T1,탎,100.58639152519767,2020-06-18T16:33:04.690429
ibmq_vigo,2,2020-06-18T06:10:17+00:00,T2,탎,109.57225053881162,2020-06-18T16:33:04.690429
ibmq_vigo,2,2020-06-18T06:47:47+00:00,frequency,GHz,4.833504879676871,2020-06-18T16:33:04.690429
ibmq_vigo,2,2020-06-18T06:09:21+00:00,readout_error,,0.008000000000000007,2020-06-18T16:33:04.690429
ibmq_vigo,2,2020-06-18T06:09:21+00:00,prob_meas0_prep1,,0.014000000000000012,2020-06-18T16:33:04.690429
ibmq_vigo,2,2020-06-18T06:09:21+00:00,prob_meas1_prep0,,0.002,2020-06-18T16:33:04.690429
ibmq_vigo,2,2020-06-18T06:47:47+00:00,id_length,ns,35.55555555555556,2020-06-18T16:33:04.690429
ibmq_vigo,3,2020-06-18T06:09:40+00:00,T1,탎,115.32029880873759,2020-06-18T16:33:04.690429
ibmq_vigo,3,2020-06-18T06:10:17+00:00,T2,탎,118.77261553418569,2020-06-18T16:33:04.690429
