,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo
249,7566,8116,8172,8175,8155
250,7600,8119,8168,8167,8170
251,7587,8121,8173,8169,8154
252,7601,8112,8169,8171,8165
253,7572,8103,8167,8168,8160
254,7620,8099,8161,8167,8152
255,7621,8119,8161,8160,8159
256,7597,8110,8173,8172,8161
257,7625,8090,8167,8172,8167
258,7584,8103,8161,8165,8155
259,7558,8116,8169,8168,8152
260,7584,8112,8175,8167,8159
261,7598,8105,8173,8164,8161
262,7596,8113,8165,8165,8162
263,7575,8101,8164,8165,8161
264,7578,8114,8157,8150,8178
265,7589,8107,8156,8167,8167
266,7624,8116,8169,8168,8157
267,7597,8100,8168,8171,8163
268,7576,8095,8164,8169,8164
269,7608,8099,8169,8175,8160
270,7581,8122,8165,8169,8152
271,7579,8125,8169,8159,8154
272,7603,8126,8173,8160,8159
273,7531,8109,8167,8168,8176
274,7576,8104,8166,8162,8169
275,7637,8108,8163,8165,8150
276,7556,8114,8174,8166,8158
277,7553,8098,8168,8164,8152
278,7631,8110,8171,8170,8167
279,7575,8115,8169,8166,8153
280,7572,8095,8171,8164,8153
281,7556,8109,8172,8165,8165
282,7606,8117,8164,8163,8159
283,7600,8085,8163,8170,8165
284,7553,8107,8166,8164,8154
285,7597,8104,8167,8164,8170
286,7612,8109,8166,8163,8165
287,7610,8108,8172,8162,8158
288,7536,8109,8175,8163,8159
289,7579,8122,8157,8170,8166
290,7577,8112,8161,8172,8158
291,7584,8113,8172,8171,8166
292,7632,8110,8167,8167,8160
293,7587,8115,8166,8170,8157
294,7569,8114,8170,8162,8162
295,7583,8108,8166,8173,8164
296,7550,8115,8164,8164,8157
297,7584,8100,8163,8169,8171
298,7622,8120,8159,8163,8153
299,7568,8111,8164,8166,8163
