,0.5,1.0,1.5,2.0
37,-1.7948743302898071,-1.7937404545407465,-1.7917990318998827,-1.7864541733130248
38,-1.7945398779011583,-1.7947122318182345,-1.7941232304778638,-1.7941350619944851
39,-1.7947710610450276,-1.7946583376850316,-1.7939917573852717,-1.789602642808826
40,-1.794869128683406,-1.7945243830126714,-1.7936690217816937,-1.7929396988630084
41,-1.7948766030348666,-1.793564031805384,-1.792304088326632,-1.790099711078563
42,-1.794961680176911,-1.7947310165755326,-1.7942732442459228,-1.7938495277949094
43,-1.7949862941101433,-1.7947518937800253,-1.7923772069599895,-1.790244362825622
44,-1.794901659605283,-1.7939311371354156,-1.7946991376545407,-1.7915947725936165
45,-1.7948121485715414,-1.792742869546089,-1.7938589830711464,-1.7904872857903582
46,-1.7949330977465223,-1.7939799075549963,-1.7942083577667531,-1.7913072021922778
47,-1.7948692996987075,-1.7935974407256547,-1.7928241349849958,-1.7883470328099615
48,-1.7948903377463687,-1.7940580880461057,-1.7933472902229184,-1.7913189177400985
49,-1.7946075637589938,-1.7944419738884592,-1.7934907123282682,-1.794024969727217
50,-1.7949431567507097,-1.7944108733052728,-1.7898168541021038,-1.7881943486393133
51,-1.7947979890009904,-1.7941994678170607,-1.7943962623213814,-1.793324600197157
52,-1.7949678366760438,-1.7948054768672017,-1.790917872529979,-1.7907146332832995
53,-1.7948257195330566,-1.7945765371987514,-1.7938420511477304,-1.7925175720743514
54,-1.7946762335016015,-1.7939905725395653,-1.7937923105447708,-1.7921033179591528
55,-1.794898404824599,-1.793898126611545,-1.7937351696279302,-1.7929379820896219
56,-1.7949878656697065,-1.7944665343967618,-1.7938277356144252,-1.79127202718069
57,-1.7946821539789688,-1.7948114349778985,-1.7941960013186748,-1.7939793196708533
58,-1.7947988381796547,-1.794477271963655,-1.7925626154305778,-1.7931757963925756
59,-1.795002427423194,-1.7937145959305982,-1.7937557053056072,-1.7903463575173384
60,-1.7947279999613819,-1.7941933997968413,-1.7924318175073684,-1.7929117240746195
61,-1.7949623595995967,-1.7943158297412798,-1.7942891495001962,-1.792703359332494
62,-1.7948947374441295,-1.7943449983454007,-1.7940887540814017,-1.789104218657199
63,-1.7949150111241372,-1.7949459796265281,-1.7937052999523748,-1.793744818497443
64,-1.7949784071972832,-1.794815443411448,-1.7923585592347897,-1.7935476516589828
65,-1.7947123889624104,-1.7920231523063066,-1.7948636446870865,-1.7922883426534189
66,-1.794843164556097,-1.7947282889162501,-1.793646927599688,-1.7910518245406204
67,-1.7947338801590687,-1.7943266005644074,-1.7938530654593727,-1.7931202546190192
68,-1.795022952813915,-1.794316465421239,-1.7904643405272507,-1.7920774097266887
69,-1.7948555733949016,-1.7932365652588964,-1.7939700956572167,-1.78941030017851
70,-1.7949958413914517,-1.7946031250382353,-1.7946169166362038,-1.7925032272342438
71,-1.7947644426127343,-1.7937242245388556,-1.7923095497319457,-1.7919860154772471
72,-1.7949178052935721,-1.794662517946206,-1.794495953645327,-1.7922063539652853
73,-1.7947705925963569,-1.7947231137485304,-1.7929358064781553,-1.7905571020922608
74,-1.794803836578877,-1.7946565669176664,-1.7926415700800233,-1.7898550520229022
75,-1.794940000888715,-1.7942866493900067,-1.7943223436830804,-1.7909528303803774
76,-1.7948844621269027,-1.794706575526045,-1.792742005846817,-1.7804647166551162
77,-1.794715473535344,-1.7943647306476342,-1.7940840620913172,-1.7927516758382902
78,-1.7946057490472647,-1.7936179650871233,-1.7892267253731085,-1.7932886758063729
79,-1.7947166241845154,-1.7944986285724842,-1.794525468389918,-1.791186492050986
80,-1.7947652907238547,-1.7935600983092654,-1.792150421662975,-1.7921358595831736
81,-1.7948315348445052,-1.7942027661805313,-1.7938462049583146,-1.7915636488509212
82,-1.7948955736528431,-1.7937007998896148,-1.7935846991860482,-1.7944474523699876
83,-1.7946293006213805,-1.7947093823573945,-1.7910420329642385,-1.7940937878958785
84,-1.7948686462004633,-1.7935824706524113,-1.7922470257434073,-1.7930191284560517
85,-1.7946695159951147,-1.7946930527042515,-1.7937143636242934,-1.786071213564897
86,-1.794901642013734,-1.793006139640493,-1.7943642600294063,-1.7910365987117969
87,-1.7948509442601166,-1.7935205477578144,-1.7931851864193502,-1.793224513621944
88,-1.7948786338097187,-1.793522497784855,-1.7943446613172371,-1.7915790767401043
89,-1.7949147804977363,-1.7945580803110106,-1.7948235229143992,-1.7947603086627808
90,-1.7948998292195153,-1.7948618705043997,-1.7923103327728511,-1.7922953423087868
91,-1.7948880366598021,-1.7946392459952456,-1.794782371934263,-1.7925846773935348
92,-1.7948104393605606,-1.7939849059138757,-1.7915075751054306,-1.792590616507639
93,-1.7945078326253845,-1.7942389127420735,-1.7940574714370503,-1.7936272024149709
94,-1.7949044729835164,-1.7933168230104068,-1.7942142300185306,-1.7900899910317265
95,-1.7948369826544355,-1.7944321341430198,-1.7923814403605305,-1.7942277837695182
96,-1.7948197254603802,-1.793340141891896,-1.7917505480893219,-1.787697505923727
97,-1.794890827013616,-1.794177448019408,-1.793323898824821,-1.7907837615388384
